Comment
کچھ روز قبل میرے ایک عزیز دوست کا انتقال ہوگیا یے۔ دنیا کا دھتکارہ ایک دروش تھا۔ یہ قوالی میں اسکے نام کرتا ہوں۔۔۔
Legends born in centuries...salute
My fav NFAK and ustad Aziz Saab 
Koe b nai ho ga aziz miyan jesa wah wah kya khoob qawali hai
Bohat ala quality ha aur aziz mean ko koi sani nahi ha.
Kooon Koon azeez Miya Ko pasand karta hai thoko like 
Boht khub
اج پھر میں نے سنا اور دل کے درد تازہ ہو گئے
Mashallah  lovely beautiful  qawali
"2021 me sun rha hu 

Edit - ab 2023 me bhi🥹"
صَلَّی اللّٰهُ عَلٰی حَبِیْبِهٖ مُحَمَّدٍ وَّآلِهٖ وَسَلَّمْ 
Legend...Aziz miyan sahab
"2021  bachpn me suna tha, dad sunte the mere aaj achank lyrics yaad aaya search kia n finally sun rh hu"
Love all qwalis of legend
His influence has been on the entire world. I disagree to call him of any nation. Once in a thousand years such artists arise.
Tareef keliye alfaz nhi allah aziz sahab ko janat mein aala maqam atta kr ameen
 both kob
ماشاءاللہ عزیز میاں اللہ پاک اپ۔اپکوجنت۔اعلی۔مقام۔عطاء۔فرمائےامین
عزیز میاں اللہ پاک درجات بلند فرمائے آمین
"Aziz Mian Qawwal was one of Pakistan's leading traditional qawwals and also famous for singing ghazals in his own unique style of qawwali. Aziz mian is honorably considered as Shahenshah E Qawwali which means The Ultimate King Of Qawwali, he is considered to be one of the Greatest Qawwali singers of all time."
After teen taal podcast episode -62
2023 kya hamesha suna jayega ye Kalam aur isi aawaaz mein.
Subhanallah bohat khoob 
Wah wah ghazab 
Most underrated Qawwali
Wah wah wah wah wah wah jaan say maar diya!!!
سلام ھو آپ کی روحِ پاک پر عزیز میاں
Mashallah wha kya baat hai
Mere dada sunte tha ajj se 25 sal bahle  me daba ke chale diya     aj lyrics yaad agaya sunte hi sukoon mile gaya all time I leke this 
مرے تھے جن کے لئے، وہ رہے وضو کرتے
بہت خوب 
استاد قمر جلالوی کا عمدہ کلام اور اس پر عزیز میاں صاحب کی آواز کا جادو سونے پہ سہاگہ بہت اعلیٰ واہ کیا بات ہے
Kya baat hi bhut khob sar
Aziz mainya dabake chldeya is shir        se dil dhhek jatahain masha allah Bhi
"Zindagi bhar ki muhabbat ka sila dene Lage,,,daba ke chal diye"
